"Week_Ending","Asian/Pacific Islander","Black","Hispanic or Latino/a","Native American","White","Other"
18321,1,NA,NA,NA,NA,NA
18328,1,NA,NA,NA,1,NA
18335,6,1,NA,NA,6,NA
18342,18,5,12,NA,18,NA
18349,31,15,35,1,43,3
18356,79,32,78,3,84,6
18363,105,49,206,4,115,9
18370,196,103,352,4,175,12
18377,253,141,457,4,191,24
18384,274,167,621,5,204,26
18391,286,180,823,6,217,27
18398,334,199,1062,6,236,28
18405,375,209,1384,6,252,28
18412,447,244,1803,6,301,28
18419,506,275,2092,6,328,29
18426,573,292,2371,6,348,31
18433,634,324,2777,6,413,34
18440,682,358,3259,8,469,37
18447,839,453,3924,8,645,43
18454,926,534,4564,10,825,59
18461,1005,596,5163,11,946,78
18468,1114,712,5923,12,1081,108
18475,1230,774,6623,12,1166,135
18482,1395,893,7522,12,1357,163
18489,1630,1042,8534,13,1567,221
18496,1827,1198,9264,15,1758,301
18503,1983,1280,9839,17,1882,368
18510,2125,1347,10241,17,1995,419
18517,2198,1383,10470,18,2093,456
18524,2275,1421,10744,18,2195,470
18531,2337,1464,11066,18,2271,486
18538,2402,1495,11318,19,2337,515
18545,2449,1527,11541,21,2419,544
18552,2501,1540,11790,21,2486,571
18559,2568,1582,12068,22,2580,593
18566,2639,1626,12329,22,2705,663
18573,2750,1704,12712,23,2834,708
18580,2898,1805,13074,25,3037,768
18587,3048,1906,13558,27,3259,777
