Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/05/27,Asian,5,334,10/11/2020 02:15:05 PM
2020/04/15,Asian,7,192,10/11/2020 02:15:05 PM
2020/05/28,Asian,3,337,10/11/2020 02:15:05 PM
2020/04/28,Asian,5,242,10/11/2020 02:15:05 PM
2020/03/29,White,0,129,10/11/2020 02:15:05 PM
2020/07/09,Asian,10,543,10/11/2020 02:15:05 PM
2020/07/10,Asian,6,549,10/11/2020 02:15:05 PM
2020/04/29,Asian,9,251,10/11/2020 02:15:05 PM
2020/04/30,Asian,6,257,10/11/2020 02:15:05 PM
2020/04/16,Asian,3,195,10/11/2020 02:15:05 PM
2020/05/01,Asian,4,261,10/11/2020 02:15:05 PM
2020/05/02,Asian,4,265,10/11/2020 02:15:05 PM
2020/05/29,Asian,1,338,10/11/2020 02:15:05 PM
2020/07/11,Asian,5,554,10/11/2020 02:15:05 PM
2020/04/17,Asian,8,203,10/11/2020 02:15:05 PM
2020/05/03,Asian,2,267,10/11/2020 02:15:05 PM
2020/05/30,Asian,3,341,10/11/2020 02:15:05 PM
2020/05/31,Asian,5,346,10/11/2020 02:15:05 PM
2020/06/01,Asian,5,351,10/11/2020 02:15:05 PM
2020/06/02,Asian,3,354,10/11/2020 02:15:05 PM
2020/06/03,Asian,2,356,10/11/2020 02:15:05 PM
2020/06/04,Asian,5,361,10/11/2020 02:15:05 PM
2020/06/05,Asian,2,363,10/11/2020 02:15:05 PM
2020/06/06,Asian,1,364,10/11/2020 02:15:05 PM
2020/06/07,Asian,0,364,10/11/2020 02:15:05 PM
2020/06/08,Asian,5,369,10/11/2020 02:15:05 PM
2020/06/09,Asian,4,373,10/11/2020 02:15:05 PM
2020/03/05,Unknown,4,5,08/25/2020 03:18:34 PM
2020/03/06,Unknown,0,5,08/25/2020 03:18:34 PM
2020/07/12,Asian,8,562,10/11/2020 02:15:05 PM
2020/07/13,Asian,8,570,10/11/2020 02:15:05 PM
2020/07/14,Asian,15,585,10/11/2020 02:15:05 PM
2020/05/04,Asian,1,268,10/11/2020 02:15:05 PM
2020/05/05,Asian,2,270,10/11/2020 02:15:05 PM
2020/05/06,Asian,4,274,10/11/2020 02:15:05 PM
2020/05/07,Asian,1,275,10/11/2020 02:15:05 PM
2020/05/08,Asian,2,277,10/11/2020 02:15:05 PM
2020/05/09,Asian,1,278,10/11/2020 02:15:05 PM
2020/05/10,Asian,0,278,10/11/2020 02:15:05 PM
2020/05/11,Asian,3,281,10/11/2020 02:15:05 PM
2020/05/12,Asian,11,292,10/11/2020 02:15:05 PM
2020/05/13,Asian,2,294,10/11/2020 02:15:05 PM
